@relation balance-scale
@attribute Left-Weight numeric
@attribute Left-Distance numeric
@attribute Right-Weight numeric
@attribute Right-Distance numeric
@attribute class {positive,negative}

@data
1,1,1,1,positive
1,2,1,1,negative
1,2,1,2,positive
1,2,2,1,positive
1,3,1,1,negative
1,3,1,2,negative
1,3,1,3,positive
1,3,2,1,negative
1,3,3,1,positive
1,4,1,1,negative
1,4,1,2,negative
1,4,1,3,negative
1,4,1,4,positive
1,4,2,1,negative
1,4,2,2,positive
1,4,3,1,negative
1,4,4,1,positive
1,5,1,1,negative
1,5,1,2,negative
1,5,1,3,negative
1,5,1,4,negative
1,5,1,5,positive
1,5,2,1,negative
1,5,2,2,negative
1,5,3,1,negative
1,5,4,1,negative
1,5,5,1,positive
2,1,1,1,negative
2,1,1,2,positive
2,1,2,1,positive
2,2,1,1,negative
2,2,1,2,negative
2,2,1,3,negative
2,2,1,4,positive
2,2,2,1,negative
2,2,2,2,positive
2,2,3,1,negative
2,2,4,1,positive
2,3,1,1,negative
2,3,1,2,negative
2,3,1,3,negative
2,3,1,4,negative
2,3,1,5,negative
2,3,2,1,negative
2,3,2,2,negative
2,3,2,3,positive
2,3,3,1,negative
2,3,3,2,positive
2,3,4,1,negative
2,3,5,1,negative
2,4,1,1,negative
2,4,1,2,negative
2,4,1,3,negative
2,4,1,4,negative
2,4,1,5,negative
2,4,2,1,negative
2,4,2,2,negative
2,4,2,3,negative
2,4,2,4,positive
2,4,3,1,negative
2,4,3,2,negative
2,4,4,1,negative
2,4,4,2,positive
2,4,5,1,negative
2,5,1,1,negative
2,5,1,2,negative
2,5,1,3,negative
2,5,1,4,negative
2,5,1,5,negative
2,5,2,1,negative
2,5,2,2,negative
2,5,2,3,negative
2,5,2,4,negative
2,5,2,5,positive
2,5,3,1,negative
2,5,3,2,negative
2,5,3,3,negative
2,5,4,1,negative
2,5,4,2,negative
2,5,5,1,negative
2,5,5,2,positive
3,1,1,1,negative
3,1,1,2,negative
3,1,1,3,positive
3,1,2,1,negative
3,1,3,1,positive
3,2,1,1,negative
3,2,1,2,negative
3,2,1,3,negative
3,2,1,4,negative
3,2,1,5,negative
3,2,2,1,negative
3,2,2,2,negative
3,2,2,3,positive
3,2,3,1,negative
3,2,3,2,positive
3,2,4,1,negative
3,2,5,1,negative
3,3,1,1,negative
3,3,1,2,negative
3,3,1,3,negative
3,3,1,4,negative
3,3,1,5,negative
3,3,2,1,negative
3,3,2,2,negative
3,3,2,3,negative
3,3,2,4,negative
3,3,3,1,negative
3,3,3,2,negative
3,3,3,3,positive
3,3,4,1,negative
3,3,4,2,negative
3,3,5,1,negative
3,4,1,1,negative
3,4,1,2,negative
3,4,1,3,negative
3,4,1,4,negative
3,4,1,5,negative
3,4,2,1,negative
3,4,2,2,negative
3,4,2,3,negative
3,4,2,4,negative
3,4,2,5,negative
3,4,3,1,negative
3,4,3,2,negative
3,4,3,3,negative
3,4,3,4,positive
3,4,4,1,negative
3,4,4,2,negative
3,4,4,3,positive
3,4,5,1,negative
3,4,5,2,negative
3,5,1,1,negative
3,5,1,2,negative
3,5,1,3,negative
3,5,1,4,negative
3,5,1,5,negative
3,5,2,1,negative
3,5,2,2,negative
3,5,2,3,negative
3,5,2,4,negative
3,5,2,5,negative
3,5,3,1,negative
3,5,3,2,negative
3,5,3,3,negative
3,5,3,4,negative
3,5,3,5,positive
3,5,4,1,negative
3,5,4,2,negative
3,5,4,3,negative
3,5,5,1,negative
3,5,5,2,negative
3,5,5,3,positive
4,1,1,1,negative
4,1,1,2,negative
4,1,1,3,negative
4,1,1,4,positive
4,1,2,1,negative
4,1,2,2,positive
4,1,3,1,negative
4,1,4,1,positive
4,2,1,1,negative
4,2,1,2,negative
4,2,1,3,negative
4,2,1,4,negative
4,2,1,5,negative
4,2,2,1,negative
4,2,2,2,negative
4,2,2,3,negative
4,2,2,4,positive
4,2,3,1,negative
4,2,3,2,negative
4,2,4,1,negative
4,2,4,2,positive
4,2,5,1,negative
4,3,1,1,negative
4,3,1,2,negative
4,3,1,3,negative
4,3,1,4,negative
4,3,1,5,negative
4,3,2,1,negative
4,3,2,2,negative
4,3,2,3,negative
4,3,2,4,negative
4,3,2,5,negative
4,3,3,1,negative
4,3,3,2,negative
4,3,3,3,negative
4,3,3,4,positive
4,3,4,1,negative
4,3,4,2,negative
4,3,4,3,positive
4,3,5,1,negative
4,3,5,2,negative
4,4,1,1,negative
4,4,1,2,negative
4,4,1,3,negative
4,4,1,4,negative
4,4,1,5,negative
4,4,2,1,negative
4,4,2,2,negative
4,4,2,3,negative
4,4,2,4,negative
4,4,2,5,negative
4,4,3,1,negative
4,4,3,2,negative
4,4,3,3,negative
4,4,3,4,negative
4,4,3,5,negative
4,4,4,1,negative
4,4,4,2,negative
4,4,4,3,negative
4,4,4,4,positive
4,4,5,1,negative
4,4,5,2,negative
4,4,5,3,negative
4,5,1,1,negative
4,5,1,2,negative
4,5,1,3,negative
4,5,1,4,negative
4,5,1,5,negative
4,5,2,1,negative
4,5,2,2,negative
4,5,2,3,negative
4,5,2,4,negative
4,5,2,5,negative
4,5,3,1,negative
4,5,3,2,negative
4,5,3,3,negative
4,5,3,4,negative
4,5,3,5,negative
4,5,4,1,negative
4,5,4,2,negative
4,5,4,3,negative
4,5,4,4,negative
4,5,4,5,positive
4,5,5,1,negative
4,5,5,2,negative
4,5,5,3,negative
4,5,5,4,positive
5,1,1,1,negative
5,1,1,2,negative
5,1,1,3,negative
5,1,1,4,negative
5,1,1,5,positive
5,1,2,1,negative
5,1,2,2,negative
5,1,3,1,negative
5,1,4,1,negative
5,1,5,1,positive
5,2,1,1,negative
5,2,1,2,negative
5,2,1,3,negative
5,2,1,4,negative
5,2,1,5,negative
5,2,2,1,negative
5,2,2,2,negative
5,2,2,3,negative
5,2,2,4,negative
5,2,2,5,positive
5,2,3,1,negative
5,2,3,2,negative
5,2,3,3,negative
5,2,4,1,negative
5,2,4,2,negative
5,2,5,1,negative
5,2,5,2,positive
5,3,1,1,negative
5,3,1,2,negative
5,3,1,3,negative
5,3,1,4,negative
5,3,1,5,negative
5,3,2,1,negative
5,3,2,2,negative
5,3,2,3,negative
5,3,2,4,negative
5,3,2,5,negative
5,3,3,1,negative
5,3,3,2,negative
5,3,3,3,negative
5,3,3,4,negative
5,3,3,5,positive
5,3,4,1,negative
5,3,4,2,negative
5,3,4,3,negative
5,3,5,1,negative
5,3,5,2,negative
5,3,5,3,positive
5,4,1,1,negative
5,4,1,2,negative
5,4,1,3,negative
5,4,1,4,negative
5,4,1,5,negative
5,4,2,1,negative
5,4,2,2,negative
5,4,2,3,negative
5,4,2,4,negative
5,4,2,5,negative
5,4,3,1,negative
5,4,3,2,negative
5,4,3,3,negative
5,4,3,4,negative
5,4,3,5,negative
5,4,4,1,negative
5,4,4,2,negative
5,4,4,3,negative
5,4,4,4,negative
5,4,4,5,positive
5,4,5,1,negative
5,4,5,2,negative
5,4,5,3,negative
5,4,5,4,positive
5,5,1,1,negative
5,5,1,2,negative
5,5,1,3,negative
5,5,1,4,negative
5,5,1,5,negative
5,5,2,1,negative
5,5,2,2,negative
5,5,2,3,negative
5,5,2,4,negative
5,5,2,5,negative
5,5,3,1,negative
5,5,3,2,negative
5,5,3,3,negative
5,5,3,4,negative
5,5,3,5,negative
5,5,4,1,negative
5,5,4,2,negative
5,5,4,3,negative
5,5,4,4,negative
5,5,4,5,negative
5,5,5,1,negative
5,5,5,2,negative
5,5,5,3,negative
5,5,5,4,negative
5,5,5,5,positive
