@relation transfusion
@attribute R numeric
@attribute F numeric
@attribute M numeric
@attribute T numeric
@attribute a {positive,negative}

@data
2,50,12500,98,positive
0,13,3250,28,positive
1,16,4000,35,positive
2,20,5000,45,positive
1,24,6000,77,negative
4,4,1000,4,negative
2,7,1750,14,positive
1,12,3000,35,negative
2,9,2250,22,positive
5,46,11500,98,positive
4,23,5750,58,negative
0,3,750,4,negative
2,10,2500,28,positive
1,13,3250,47,negative
2,6,1500,15,positive
2,5,1250,11,positive
2,14,3500,48,positive
2,15,3750,49,positive
2,6,1500,15,positive
2,3,750,4,positive
2,3,750,4,positive
4,11,2750,28,negative
2,6,1500,16,positive
2,6,1500,16,positive
9,9,2250,16,negative
4,14,3500,40,negative
4,6,1500,14,negative
4,12,3000,34,positive
4,5,1250,11,positive
4,8,2000,21,negative
1,14,3500,58,negative
4,10,2500,28,positive
4,10,2500,28,positive
4,9,2250,26,positive
2,16,4000,64,negative
2,8,2000,28,positive
2,12,3000,47,positive
4,6,1500,16,positive
2,14,3500,57,positive
4,7,1750,22,positive
2,13,3250,53,positive
2,5,1250,16,negative
2,5,1250,16,positive
2,5,1250,16,negative
4,20,5000,69,positive
4,9,2250,28,positive
2,9,2250,36,negative
2,2,500,2,negative
2,2,500,2,negative
2,2,500,2,negative
2,11,2750,46,negative
2,11,2750,46,positive
2,6,1500,22,negative
2,12,3000,52,negative
4,5,1250,14,positive
4,19,4750,69,positive
4,8,2000,26,positive
2,7,1750,28,positive
2,16,4000,81,negative
3,6,1500,21,negative
2,7,1750,29,negative
2,8,2000,35,positive
2,10,2500,49,negative
4,5,1250,16,positive
2,3,750,9,positive
3,16,4000,74,negative
2,4,1000,14,positive
0,2,500,4,negative
4,7,1750,25,negative
1,9,2250,51,negative
2,4,1000,16,negative
2,4,1000,16,negative
4,17,4250,71,positive
2,2,500,4,negative
2,2,500,4,positive
2,2,500,4,positive
2,4,1000,16,positive
2,2,500,4,negative
2,2,500,4,negative
2,2,500,4,negative
4,6,1500,23,positive
2,4,1000,16,negative
2,4,1000,16,negative
2,4,1000,16,negative
2,6,1500,28,positive
2,6,1500,28,negative
4,2,500,4,negative
4,2,500,4,negative
4,2,500,4,negative
2,7,1750,35,positive
4,2,500,4,positive
4,2,500,4,negative
4,2,500,4,negative
4,2,500,4,negative
12,11,2750,23,negative
4,7,1750,28,negative
3,17,4250,86,negative
4,9,2250,38,positive
4,4,1000,14,positive
5,7,1750,26,positive
4,8,2000,34,positive
2,13,3250,76,positive
4,9,2250,40,negative
2,5,1250,26,negative
2,5,1250,26,negative
6,17,4250,70,negative
0,8,2000,59,negative
3,5,1250,26,negative
2,3,750,14,negative
2,10,2500,64,negative
4,5,1250,23,positive
4,9,2250,46,negative
4,5,1250,23,negative
4,8,2000,40,positive
2,12,3000,82,negative
11,24,6000,64,negative
2,7,1750,46,positive
4,11,2750,61,negative
1,7,1750,57,negative
2,11,2750,79,positive
